Image ID,Creator,Short Title,Created:from,Created:to,Uploaded,Image type,Technique,Language,Distribution at time of creation,(Digital) source,Source ID (if applicable),Country of origin,Exact location,Holding institution,Collection,Other copyright holders,Related images,ImgDB ID,Metadata editor
1280,french school,Murders of the villagers and peasants,1465-01-01,1465-12-31,2/24/2016,2,5,6,CND175018,https://www.bridgemanimages.com/fr/asset/175018,,FRA,France,Chantilly / musée Condé,,,,imgs/1465_FRA__1280.jpg,gaumy
1281,English school,Tyrconnel arming the papists in Ireland,1600-01-01,1700-12-31,2/24/2016,1,8,5,XJF170095,https://www.bridgemanimages.com/fr/asset/170095,,GBR,England,Private collection,,,,imgs/1600_GBR__1281.jpg,gaumy
1282,German School,Liberty Peasant's revolt 1522,1522-01-01,1522-12-31,2/24/2016,1,1,2,CHT223731,https://www.bridgemanimages.com/fr/asset/223731,,DEU,Germany,Paris / bibliothèque des Arts décoratifs,,,,imgs/1522_DEU__1282.jpg,gaumy
1283,German School,Trial of Guy Fawkes,1606-01-01,1606-12-31,2/24/2016,1,1,2,LAM240872,https://www.bridgemanimages.com/fr/asset/240872,,GBR,Germany,Londres / Lambeth Palace Library,,,,imgs/1606_GBR__1283.jpg,gaumy
1284,french school,Barricade at St Antoine gate in Paris,1842-01-01,1842-12-31,2/24/2016,1,5,6,GEG1783738,https://www.bridgemanimages.com/fr/asset/1783738,,FRA,France,,,,,imgs/1842_FRA__1284.jpg,gaumy
1285,Matthaus Merian the elder,the battle of White Mountain / 8th november 1620,1620-01-01,1650-12-31,2/24/2016,1,1,2,HIS288269,https://www.bridgemanimages.com/fr/asset/288269,,DEU,Germany,Berlin / Deutsches historisches Museum,,,,imgs/1620_DEU__1285.jpg,gaumy
1286,German School,Palatine Catechism: Anti-protestant handbill mocking Frederick / Elector Palatine (the Winter King),1621-01-01,1621-12-31,2/24/2016,1,1,2,HIS294319,https://www.bridgemanimages.com/fr/asset/294319,,DEU,Germany,Berlin / Deutsches historisches Museum,,,,imgs/1621_DEU__1286.jpg,gaumy
1287,dutch School,Battle of Zutphen / 22nd September 1586,1586-01-01,1600-12-31,2/24/2016,1,1,3,XJF308743,https://www.bridgemanimages.com/fr/asset/308743,,NLD,Dutch,Private collection,,,,imgs/1586_NLD__1287.jpg,gaumy
1288,Hans Burgkmair,George III Truchsess (Steward) of Waldburg-Zeil / as captain of the Swabian League,1526-01-01,1530-12-31,2/24/2016,1,1,2,HIS330529,https://www.bridgemanimages.com/fr/asset/330529,,DEU,Germany,Berlin / Deutsches historisches Museum,,,,imgs/1526_DEU__1288.jpg,gaumy
1289,German School,How the Calvinist spirit attacks the Holy Roman Empire and the Roman Catholic Church: Anti-Calvinist,1621-01-01,1621-12-31,2/24/2016,1,1,2,HIS330511,https://www.bridgemanimages.com/fr/asset/330511,,DEU,Germany,Berlin / Deutsches historisches Museum,,,,imgs/1621_DEU__1289.jpg,gaumy
1290,Spanich School,siege of the city of Barcelina by Philip IV during the Reapers' War,1650-01-01,1700-12-31,2/24/2016,1,1,8,IND354836,https://www.bridgemanimages.com/fr/asset/354836,,ESP,Spain,Barcelona / Museo de historia de la ciudad,,,,imgs/1650_ESP__1290.jpg,gaumy
1291,Petrus de Iode,Masaniello,1700-01-01,1800-12-31,2/24/2016,1,1,1,XJF366971,https://www.bridgemanimages.com/fr/asset/366971,,ITA,Dutch,Private collection,,,,imgs/1700_ITA__1291.jpg,gaumy
1292,Willem Jacobsz Delff after Adriaen Pieterzz van de Venne,portrait of William I / prince of Orange,1623-01-01,1623-12-31,2/24/2016,1,1,3,XJF400632,https://www.bridgemanimages.com/fr/asset/400632,,NLD,Dutch,Private collection,,,,imgs/1623_NLD__1292.jpg,gaumy
1293,Flemish school,the prince of Orange calming the Calvinists / 14th March 1567,1570-01-01,1600-12-31,2/24/2016,1,1,3,XIR158896,https://www.bridgemanimages.com/fr/asset/158896,,BEL,flemish,Antwerp / Koninklijk museum voor schone Kunsten,,,,imgs/1570_BEL__1293.jpg,gaumy
